Trascrizione,Standard,Gruppo 0,Gruppo 1,Gruppo 2,Gruppo 3,Gruppo 4,Corporazione
sabioner,sabioner,trasportatori di sabbia,trasportatori di sabbia,trasporto e imballaggio,commercio,servizi,sabioneri
scultor,scultor,scultore,scultore,scultore,decorazioni e mestieri dell'arte,beni,taiapiera
segador,segador,segatore,segatore,altro,costruzioni,beni,taiapiera
sonador,sonador,suonatore,suonatore,musica,altri servizi,servizi,sonadori
sonador ?,sonador,suonatore,suonatore,musica,altri servizi,servizi,sonadori
sonador de clavocinbano,sonador di clavicembalo,suonatore,suonatore,musica,altri servizi,servizi,sonadori
sonador de instrumenti da pena,sonador de instrumenti da pena,suonatore,suonatore,musica,altri servizi,servizi,sonadori
sonador de violino,sonador di violino,suonatore,suonatore,musica,altri servizi,servizi,sonadori
sonar e cantar de organo,sonar e cantar de organo,sonar e cantar de organo,suonatore,musica,altri servizi,servizi,
sonator di arpicordo,sonador di arpicordo,suonatore,suonatore,musica,altri servizi,servizi,sonadori
specchier,spechier,specchiaio,specchiaio,vetro,oggettistica,beni,specchieri
specher,spechier,specchiaio,specchiaio,vetro,oggettistica,beni,specchieri
