name
A. A.
"LAKE, Edward John."
"LASCELLES, Rowley."
"LEE, M. A."
"Lee, Vernon"
"LEIGH, Chandos - Baron Leigh"
"LEMAISTRE, J. G."
"LEONARD, Arthur Glyn."
"Lewis, M. G.  (Matthew Gregory)"
"LEWIS, Thomas A."
"Linné, Carl von"
"LONGMAN, William - President of the Alpine Club"
"LOSSING, Benson John."
"LOW, David - Professor of Agriculture in the University of Edinburgh"
"LUCANGEL, Carlo."
"LUCAS, Samuel - M.A., Barrister-at-Law"
"LUPTON, Joseph Hirst."
"MACCARTHY, Denis Florence."
"MACFARLAND, Andrew."
"MACGEOGHEGAN, James."
"MACGLASHAN, Charles Fayette."
"MACKAY, Charles."
"MACKENZIE, James Bovell."
"MACMASTER, John Bach."
"MACQUOID, Gilbert S."
"Malloch, D. E."
"MARSHALL, John - R.N"
"MARTIN, Mary Emma."
"MARTIN, Theodore - Sir, K.C.B"
"MASSIE, James William."
"MATHEWS, Joseph - Publisher, of Bristol"
"MATTHEWES, George."
"Mayhew, Henry"
"Meredith, George"
"MERIVALE, Herman Charles."
"MERRY, Robert - Poet"
"MIDDLEMASS, Jean."
"MIKHAILOVSKY-DANILEVSKY, Aleksandr Ivanovich - General"
"MILN, Louise Jordan."
Molesworth - Mrs
"MONKSHOOD, G. F. - pseud. [i.e. William James Clarke.]"
"MONTGOMERY, David Henry."
"MOORE, John - Correspondent of the “Morning Chronicle”"
"Moore, Thomas"
"MORISON, R. C. H."
"MUELLER, Wilhelm - Engineer"
"MUNDY, Godfrey Charles."
"N., F."
"Napier, William Francis Patrick - Sir"
"Napoleon - I, Emperor of the French"
"NOAKE, R. Compton."
"NORTH, James W."
"NORTHROP, Henry H."
"NORTHY, T. J."
"NORTON, A. B. - of Mount Vernon, Ohio"
"O'BYRNE, M. L."
"Oliphant, Laurence"
"OLIVER, J. Rutherford."
"ORRIDGE, Benjamin Brogden."
"OUCHTERLONY, John."
"OXENFORD, John."
"PAGENSTECHER, G. - Dr"
"Paley, William"
"Parker, Gilbert"
"PARKER, T. - Poetical Writer"
"Parkman, Francis"
"PATERSON, John David."
"Payn, James"
"Pelham, Henry"
"PELHAM, Henry Francis."
"PETERS, Edward Dyer."
"PIERCY, John S."
"PIGGOT, John - F.S.A"
"PLATTS, John - Unitarian Minister"
"PLAYFAIR, Hugh Lyon - Sir"
"PLAYFAIR, Robert Lambert - Sir, K.C.M.G"
"POLLARD, Alfred William - C.B., Keeper of Printed Books, British Museum"
"Porter, Helen."
"PORTER, Henry C."
"POTTER, Elisha Reynolds."
"POULLAIN DE SAINT-FOIX, Germain François."
"POWELL, William H. - Colonel. U.S. Army"
"QUIN, Windham Thomas Wyndham - 4th Earl of Dunraven"
"RAINE, John."
"Ramsay, Allan"
"RATHMELL, Michael."
"RAVENSCROFT, Edward - Dramatist"
"Reade, Charles"
"REANEY, Isabel - Mrs"
"REDFERN, Francis."
"ROCKWELL, Charles."
"RODD, Richard."
"RONDEAU, James."
"ROOPER, Wilhelmina Lydia."
"ROSET, Hipponax."
"ROSS, Malcolm - Earl of Ross"
"RUSSELL, William Clark."
"RUSTOFF, Michael."
"S., T."
"SALMON, Arthur Leslie."
"Savage, Richard"
"SCHEFFEL, Joseph Victor von."
"SCHMITZ, Leonhard."
"SETON, James Lumsden."
"SHARP, Elizabeth Amelia."
"SHATTUCK, Lemuel."
"SHEPHERD, Thomas Hosmer."
"Sherring, M. A. (Matthew Atmore)"
"SIBORNE, Herbert Taylor."
"SIBORNE, William."
"SIMCOE, John Graves."
"SIMONDE DE SISMONDI, Jean Charles Léonard."
"SLATER, Ernest Ethelbert - and LAYCOCK (William) of Yeadon"
"SMITH, George - of Coalville, Leicester"
"SMITH, Margaret Vowell."
"SMITH, Valentine."
"SNOW, Robert - of St. John's College, Cambridge"
"SOMERVILLE, Annesley Ashburton - and THOMSON (Remington Walter White)"
"SOPWITH, Thomas."
"SOUTHALL, James C."
"SPIERS, Victor Julian Taylor."
"STARR, Frederick."
"STEPHEN, Leslie - Sir, K.C.B"
"STIRLING, Andrew."
"STOUGHTON, John - Rev., of Kensington"
"STRATTON, Eugene."
"STYLES, Robert."
"SULLIVAN, Jeremiah."
"Swinton, William"
"Taylor, Bayard."
"TAYLOR, James - D.D., of Glasgow"
"TAYLOR, William Cooke."
"TEALE, Thomas Pridgin - the Elder"
"TENNANT, William - Professor of Oriental Languages at St. Andrews"
"THOMSON, Basil Home - Sir, K.C.B"
"THOMSON, John - F.R.G.S"
"THURLOW, Edward Hovell - 2nd Baron Thurlow"
"THYNNE, Robert."
"TREVOR-BATTYE, Aubyn Bernard Rochford."
"TURNER, Joseph Horsfall."
"VAN RENSSELAER, Jeremiah."
"WAGNER, Leopold - Miscellaneous Writer"
"WALDRON, Francis Godolphin."
"WALTERS, John Cuming."
"WARTENSLEBEN-CAROW, Hermann Ludwig Wilhelm Carl Alexander Friedrich von - Count"
"Watson, William"
"WATT, Alexander - F.R.S.A"
"WATT, Francis - and CARTER (Andrew)"
"WAUTHIER, J. M."
"Webster, Benjamin"
"WELLBELOVED, Horace."
"WEST, Mary."
"WESTON, James - pseud. [i.e. Edward Step.]"
"WHITE, Edmund H."
"WHITE, George Whit."
"WHITE, Henry - B.A., Ph. D"
"WILKINS, Charles - of Merthyr Tydfil"
"WILKINS, William - M.A., Professor of Architecture at the Royal Academy"
"WILLIAMS, C. H."
"Monier-Williams, Monier - Sir"
"WILLS, William Arthur - and COLLINGRIDGE (Leonard Thomas)"
"WILLS, William Gorman."
"WILSON, Harrison Corbett."
"WILSON, William Bender."
"WINSCOMBE, John Cave."
"WOOD, William - of Eyam"
"WOODBURN, R. H."
"WRANGHAM, Francis."
"WREN, Edmond."
"WYCHERLEY, William."
"Wycherley, William"
"Nutt, D. - Miss"
