Aleph system no.;Country code;Language code (008);Language code (041);DDC;Personal author;Corporate author;Title;Edition;Imprint;Series;Subjects;Other personal authors;Other corporate authors;DOM ID;Type;Genre;first_pdf
14817089;|||;eng;;;LEWIS, Meriwether.;;[Travels to the Source of the Missouri River and across the American Continent to the Pacific Ocean, performed by order of the Government of the United States in the years 1804, 1805, and 1806. By Captains Lewis and Clarke. Published from the official report, and illustrated by ... maps. [Another edition of “History of the Expedition under the command of Captains Lewis and Clarke, etc.” By Nicholas Biddle. Edited by T. Reus.]] [electronic resource];New edition.;London, 1815.;;;BIDDLE, Nicholas, LL.D. -- Clark, William, 1770-1838. -- REES, Thomas.;;lsidyv3c91df55 -- lsidyv3cb26dcd -- lsidyv3c91d478;story;Prose;lsidyv3c91df55
15106284;|||;eng;;;TAYLOR, James, D.D., of Glasgow.;;The Family History of England, civil, military, social, commercial, and religious, from the earliest period to the passing of the Reform Bill, 1867. (Edited by ... J. Taylor.) [Illustrated with maps, portraits, etc.] [electronic resource];;London, [1870-75];;;;;lsidyv388846fd -- lsidyv3888ddf1 -- lsidyv3888d37e -- lsidyv3888669a -- lsidyv38885c1d -- lsidyv38885320;story;Prose;lsidyv388846fd
14827391;|||;eng;;;PIERCY, John S.;;The History of Retford, in the County of Nottingham ... With an historical ... account of the villages of West Retford, Babworth, Ordsall, Grove and Clarborough. [electronic resource];;Retford, 1828.;;;;;lsidyv39075389;story;Prose;lsidyv39075389
14809572;|||;eng;;;DUNCAN, Jonathan, B.A.;;"The History of Guernsey; with occasional notices of Jersey, Alderney, and Sark, and biographical sketches. [electronic resource]";;London : Longman & Co., 1841.;;;;;lsidyv3c4bbd67;story;Prose;lsidyv3c4bbd67
14830073;|||;eng;;;STARR, Frederick.;;On the Hills. A series of geological tales, etc. [electronic resource];;Boston [Mass. : D. Lethrop Co., 1890].;;;;;lsidyv3cc37ff3;tale;Prose;lsidyv3cc37ff3
14826515;|||;eng;;;NORTHY, T. J.;;Illustrated Popular History of Exeter, etc. [electronic resource];;Exeter : J. G. Commin, 1886.;;;;;lsidyv3c4cb8f0;story;Prose;lsidyv3c4cb8f0
14871171;|||;eng;;;Barber, John Warner, 1798-1885.;;Connecticut Historical Collections, containing a general collection of interesting facts ... relating to the history and antiquities of every town in Connecticut, with geographical descriptions ... Second edition. [With plates.] [electronic resource];;New Haven : Durrie & Peck, [1837];;;;;lsidyv3710b1cf -- lsidyv3757f1de;story;Prose;lsidyv3710b1cf
14840229;|||;eng;;;;;[The new Harrogate Guide: being a concise ... history of what is most remarkable in that neighbourhood, etc.] [electronic resource];Sixth edition.;Harrogate, 1833.;;;;;lsidyv32c5cf3c;story;Prose;lsidyv32c5cf3c
14806758;|||;eng;;;Campbell, James, M.A.;;[Balmerino and its Abbey. A parochial history ... With an appendix of illustrative documents.] [electronic resource];New edition.;"Edinburgh ; London : W. Blackwood & Sons, 1899.";;;;;lsidyv2ae207f1;story;Prose;lsidyv2ae207f1
15106114;|||;eng;;;LOSSING, Benson John.;;Pictorial History of the Civil War in the United States of America. By B. J. Lossing. Illustrated by many hundred engravings on wood, by Lossing and Barritt, etc. [electronic resource];;Philadelphia : George W. Childs, 1866[-69];;;BARRITT, W., Artist.;;lsidyv38ad4038 -- lsidyv38ad60cc -- lsidyv38d04c87;story;Prose;lsidyv38ad4038
15115557;|||;eng;;;BARRY, John Stetson.;;The History of Massachusetts. [electronic resource];;Boston : Phillips, Sampson & Co., 1855-57.;;;;;lsidyv38c724bd -- lsidyv38c731ac -- lsidyv38c7192c;story;Prose;lsidyv38c724bd
15174090;|||;eng;;;SMITH, Margaret Vowell.;;Virginia, 1492-1892. A brief review of the discovery of the Continent of North America, with a history of the Executives of the Colony and of the Commonwealth of Virginia. [electronic resource];;Washington : Lowdermilk & Co., 1893.;;;;;lsidyv38dab34a;story;Prose;lsidyv38dab34a
14866880;|||;eng;;;HARDING, George Perfect.;;A description of a series of Illustrations to G. P. H.'s Manuscript History of The Princes of Wales, from the time of Edward of Caernarvon, to the present Sovereign of England. [electronic resource];;London, 1828.;;;;;lsidyv36bdc779;story;Prose;lsidyv36bdc779
15115767;|||;eng;;;OLIVER, J. Rutherford.;;Upper Teviotdale and the Scotts of Buccleuch, a local and family history ... With illustrations of Border scenery by T. H. Laidlaw. [electronic resource];;Hawick : W. & J. Kennedy, 1887.;;;;;lsidyv38c253d5;story;Prose;lsidyv38c253d5
